year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,TN,Total,Both,1,4–5,4,1.3404774654190987e-4,99210.7890625,13.298982620239258,,,72.20403289794922,FALSE,1.3405673154329596e-4
2019,TN,Total,Both,1,5–6,5,1.8202950013801455e-4,99197.4921875,18.056869506835938,,,71.21363830566406,FALSE,1.8204606901548704e-4
2019,TN,Total,Both,1,6–7,6,1.825932995416224e-4,99179.4375,18.10950088500977,,,70.22650909423828,FALSE,1.8260997122020956e-4
2019,TN,Total,Both,1,7–8,7,1.7607670451980084e-4,99161.328125,17.459999084472656,,,69.23925018310547,FALSE,1.7609220738758506e-4
2019,TN,Total,Both,1,8–9,8,1.5929037181194872e-4,99143.8671875,15.79266357421875,,,68.25135040283203,FALSE,1.5930305953374067e-4
2019,TN,Total,Both,1,9–10,9,1.3540705549530685e-4,99128.078125,13.422640800476074,,,67.26214599609375,FALSE,1.3541622365136231e-4
2019,TN,Total,Both,1,10–11,10,1.1381047079339623e-4,99114.65625,11.280285835266112,,,66.27118682861328,FALSE,1.1381694757359004e-4
2019,TN,Total,Both,1,11–12,11,1.0856852895813064e-4,99103.375,10.759507179260254,,,65.27867126464844,FALSE,1.085744228408158e-4
2019,TN,Total,Both,1,12–13,12,1.3540028885472566e-4,99092.6171875,13.417168617248535,,,64.28570556640625,FALSE,1.354094560944601e-4
2019,TN,Total,Both,1,13–14,13,2.0426028640940783e-4,99079.203125,20.237945556640625,,,63.294342041015625,FALSE,2.042811496724779e-4
2019,TN,Total,Both,1,14–15,14,3.0733225867152214e-4,99058.96875,30.44401741027832,,,62.30717086791992,FALSE,3.0737949248837e-4
2019,TN,Total,Both,1,15–16,15,4.241662682034075e-4,99028.5234375,42.00455856323242,,,61.326168060302734,FALSE,4.242562457976785e-4
2019,TN,Total,Both,1,16–17,16,5.423434777185321e-4,98986.515625,53.6846923828125,,,60.35198211669922,FALSE,5.424905858340075e-4
2019,TN,Total,Both,1,17–18,17,6.674719625152647e-4,98932.828125,66.0348892211914,,,59.384464263916016,FALSE,6.676947962932863e-4
2019,TN,Total,Both,1,18–19,18,7.936960901133717e-4,98866.796875,78.4701919555664,,,58.423789978027344,FALSE,7.940111919026314e-4
2019,TN,Total,Both,1,19–20,19,9.17011231649667e-4,98788.328125,90.59000396728517,,,57.46979904174805,FALSE,9.174318793184712e-4
2019,TN,Total,Both,1,20–21,20,0.0010470409179106357,98697.734375,103.34056854248048,,,56.522090911865234,FALSE,0.0010475893523691846
2019,TN,Total,Both,1,21–22,21,0.0011741857742890716,98594.390625,115.76812744140624,,,55.580814361572266,FALSE,0.001174875535359161
2019,TN,Total,Both,1,22–23,22,0.0012722458923235536,98478.625,125.28902435302734,,,54.645565032958984,FALSE,0.0012730557122738733
2019,TN,Total,Both,1,23–24,23,0.0013300415594130754,98353.3359375,130.81402587890625,,,53.71453857421875,FALSE,0.0013309266532937811
2019,TN,Total,Both,1,24–25,24,0.001360163907520473,98222.5234375,133.59872436523438,,,52.78540802001953,FALSE,0.0013610895599676584
2019,TN,Total,Both,1,25–26,25,0.001376075786538422,98088.921875,134.977783203125,,,51.85662460327149,FALSE,0.0013770232307010564
2019,TN,Total,Both,1,26–27,26,0.0014009329024702313,97953.9453125,137.22689819335938,,,50.927391052246094,FALSE,0.0014019148968229425
