age,cause,mx_2005,mx_2023,from_year,to_year,change,age_band
29,Alcohol-induced,1.4278743685196447e-5,5.173922293974635e-5,2005,2023,3.74604792545499e-5,20–29
29,Cancer,8.0729820066303e-5,7.216844401466765e-5,2005,2023,-8.561376051635349e-6,20–29
29,Chronic lower respiratory disease,5.766415719021642e-6,5.773475521173412e-6,2005,2023,7.059802151769651e-9,20–29
29,Diabetes,1.4553334909911765e-5,1.9540994071663858e-5,2005,2023,4.9876591617520925e-6,20–29
29,Drug overdose,1.3180378786335184e-4,4.358974018485927e-4,2005,2023,3.0409361398524087e-4,20–29
29,Heart disease,7.111912720126693e-5,7.016993325733839e-5,2005,2023,-9.491939439285377e-7,20–29
29,Homicide,1.2219309499831576e-4,1.3012525597721615e-4,2005,2023,7.932160978900394e-6,20–29
29,Other causes,2.518001530639451e-4,2.484815041612711e-4,2005,2023,-3.318648902673983e-6,20–29
29,Other unintentional injury,2.1088606058136292e-4,2.0007313248374017e-4,2005,2023,-1.0812928097622752e-5,20–29
29,Stroke,1.2905787561619867e-5,1.0658724039089377e-5,2005,2023,-2.2470635225304896e-6,20–29
29,Suicide,1.0571762151539678e-4,1.7231603863194491e-4,2005,2023,6.659841711654813e-5,20–29
30,Alcohol-induced,1.3981714996596879e-5,6.136558771865966e-5,2005,2023,4.738387272206278e-5,30–39
30,Cancer,8.969402073288564e-5,7.908382079235715e-5,2005,2023,-1.0610199940528484e-5,30–39
30,Chronic lower respiratory disease,7.386566413296465e-6,6.914432419003904e-6,2005,2023,-4.721339942925605e-7,30–39
30,Diabetes,1.688358037324906e-5,2.6577349610546256e-5,2005,2023,9.693769237297195e-6,30–39
30,Drug overdose,1.3295819543933637e-4,4.7623153285889386e-4,2005,2023,3.432733374195575e-4,30–39
30,Heart disease,8.336267809291724e-5,7.000862824241452e-5,2005,2023,-1.3354049850502721e-5,30–39
30,Homicide,1.2214215176272367e-4,1.413137125633923e-4,2005,2023,1.9171560800668636e-5,30–39
30,Other causes,2.569469888053842e-4,2.642609640138055e-4,2005,2023,7.3139752084213435e-6,30–39
30,Other unintentional injury,2.020753525923247e-4,1.9792562799398678e-4,2005,2023,-4.149724598337905e-6,30–39
30,Stroke,1.319029716660083e-5,1.2100256733256832e-5,2005,2023,-1.090040433343998e-6,30–39
30,Suicide,1.1343655563276713e-4,1.7955916688100764e-4,2005,2023,6.61226112482405e-5,30–39
31,Alcohol-induced,1.5886699988023067e-5,6.828360884790402e-5,2005,2023,5.239690885988095e-5,30–39
31,Cancer,9.929187492514417e-5,8.978030052224417e-5,2005,2023,-9.511574402899998e-6,30–39
31,Chronic lower respiratory disease,7.678571660877816e-6,8.008571408087508e-6,2005,2023,3.2999974720969174e-7,30–39
31,Diabetes,1.8534483319360248e-5,2.866225556578687e-5,2005,2023,1.0127772246426623e-5,30–39
31,Drug overdose,1.3027093990178914e-4,5.281442091754552e-4,2005,2023,3.9787326927366606e-4,30–39
31,Heart disease,8.79064066003943e-5,9.062330803888496e-5,2005,2023,2.716901438490658e-6,30–39
31,Homicide,1.0988300825049289e-4,1.3129842071680307e-4,2005,2023,2.1415412466310182e-5,30–39
31,Other causes,2.713977914620607e-4,2.866225556578687e-4,2005,2023,1.5224764195808022e-5,30–39
31,Other unintentional injury,2.1605911983711373e-4,1.8756917245257585e-4,2005,2023,-2.8489947384537876e-5,30–39
31,Stroke,1.7475369986825375e-5,1.3488120266252647e-5,2005,2023,-3.987249720572728e-6,30–39
31,Suicide,1.1253079158183005e-4,1.734487965488426e-4,2005,2023,6.091800496701255e-5,30–39
32,Alcohol-induced,1.753732468330688e-5,8.857478849022688e-5,2005,2023,7.103746380692e-5,30–39
32,Alzheimer disease,2.5416412584502725e-7,0,2005,2023,-2.5416412584502725e-7,30–39
32,Cancer,1.128488718751921e-4,9.609528939977446e-5,2005,2023,-1.6753582475417637e-5,30–39
32,Chronic lower respiratory disease,7.879087901195844e-6,9.19172333389147e-6,2005,2023,1.3126354326956264e-6,30–39
32,Diabetes,2.1603950696827316e-5,2.7575170001674406e-5,2005,2023,5.97121930484709e-6,30–39
32,Drug overdose,1.4614437236089065e-4,5.489965663969723e-4,2005,2023,4.028521940360817e-4,30–39
32,Heart disease,1.0090315796047581e-4,9.943773424846226e-5,2005,2023,-1.465423712013555e-6,30–39
32,Homicide,9.709069607280041e-5,1.1907459773450313e-4,2005,2023,2.1983901661702722e-5,30–39
32,Other causes,2.999136684971322e-4,3.0938505130666515e-4,2005,2023,9.471382809532979e-6,30–39
32,Other unintentional injury,1.9519804864898092e-4,2.061870666034291e-4,2005,2023,1.098901795444819e-5,30–39
32,Stroke,2.033313006760218e-5,1.8174543864739952e-5,2005,2023,-2.1585862028622275e-6,30–39
32,Suicide,1.1894881089547276e-4,1.6691333963134736e-4,2005,2023,4.79645287358746e-5,30–39
33,Alcohol-induced,1.7691437470287582e-5,8.941779718260074e-5,2005,2023,7.172635971231316e-5,30–39
33,Cancer,1.253351133458402e-4,1.0558257058632032e-4,2005,2023,-1.9752542759519874e-5,30–39
33,Chronic lower respiratory disease,7.475255269135597e-6,8.184695394288397e-6,2005,2023,7.094401251527998e-7,30–39
33,Diabetes,2.1678240280493234e-5,3.519419019544011e-5,2005,2023,1.3515949914946874e-5,30–39
33,Drug overdose,1.455183025725063e-4,5.727240602153306e-4,2005,2023,4.272057576428243e-4,30–39
33,Heart disease,1.1536810632032606e-4,1.0149022288917613e-4,2005,2023,-1.3877883431149933e-5,30–39
33,Homicide,9.742749367440062e-5,1.2154272660518269e-4,2005,2023,2.4115232930782066e-5,30–39
33,Other causes,3.08977217790938e-4,3.455987630238276e-4,2005,2023,3.662154523288957e-5,30–39
33,Other unintentional injury,1.9535333770007694e-4,1.8722490714434708e-4,2005,2023,-8.128430555729864e-6,30–39
33,Stroke,1.91864885241147e-5,1.7801712482577264e-5,2005,2023,-1.384776041537437e-6,30–39
33,Suicide,1.183582084279803e-4,1.7433401189834285e-4,2005,2023,5.5975803470362554e-5,30–39
34,Alcohol-induced,2.2375928067231e-5,1.0644782227590206e-4,2005,2023,8.407189420867106e-5,30–39
34,Alzheimer disease,2.3308258403365624e-7,0,2005,2023,-2.3308258403365624e-7,30–39
34,Cancer,1.4148112850842934e-4,1.1935700151810887e-4,2005,2023,-2.2124126990320474e-5,30–39
34,Chronic lower respiratory disease,9.323303361346248e-6,8.888287347093214e-6,2005,2023,-4.350160142530341e-7,30–39
